dequebuilder pushed:CLASS|$CLASS
dequebuilder pushed:relational|<var>
dequebuilder pushed:{|$LB
dequebuilder pushed:CONST|$CONST
dequebuilder pushed:Y|<var>
dequebuilder pushed:=|<assign>
dequebuilder pushed:1|<integer>
dequebuilder pushed:,|<comma>
dequebuilder pushed:Z|<var>
dequebuilder pushed:=|<assign>
dequebuilder pushed:0|<integer>
dequebuilder pushed:;|<semi>
dequebuilder pushed:VAR|$VAR
dequebuilder pushed:A|<var>
dequebuilder pushed:,|<comma>
dequebuilder pushed:B|<var>
dequebuilder pushed:;|<semi>
dequebuilder pushed:GET|<var>
dequebuilder pushed:(|$LP
dequebuilder pushed:A|<var>
dequebuilder pushed:)|$RP
dequebuilder pushed:;|<semi>
dequebuilder pushed:GET|<var>
dequebuilder pushed:(|$LP
dequebuilder pushed:B|<var>
dequebuilder pushed:)|$RP
dequebuilder pushed:;|<semi>
dequebuilder pushed:IF|$IF
dequebuilder pushed:(|$LP
dequebuilder pushed:A|<var>
dequebuilder pushed:>|<relop>
dequebuilder pushed:B|<var>
dequebuilder pushed:)|$RP
dequebuilder pushed:THEN|$THEN
dequebuilder pushed:{|$LB
dequebuilder pushed:PUT|<var>
dequebuilder pushed:(|$LP
dequebuilder pushed:Y|<var>
dequebuilder pushed:)|$RP
dequebuilder pushed:;|<semi>
dequebuilder pushed:}|$RB
dequebuilder pushed:ELSE|$ELSE
dequebuilder pushed:{|$LB
dequebuilder pushed:PUT|<var>
dequebuilder pushed:(|$LP
dequebuilder pushed:Z|<var>
dequebuilder pushed:)|$RP
dequebuilder pushed:;|<semi>
dequebuilder pushed:}|$RB
dequebuilder pushed:IF|$IF
dequebuilder pushed:(|$LP
dequebuilder pushed:A|<var>
dequebuilder pushed:>=|<relop>
dequebuilder pushed:B|<var>
dequebuilder pushed:)|$RP
dequebuilder pushed:THEN|$THEN
dequebuilder pushed:{|$LB
dequebuilder pushed:PUT|<var>
dequebuilder pushed:(|$LP
dequebuilder pushed:Y|<var>
dequebuilder pushed:)|$RP
dequebuilder pushed:;|<semi>
dequebuilder pushed:}|$RB
dequebuilder pushed:ELSE|$ELSE
dequebuilder pushed:{|$LB
dequebuilder pushed:PUT|<var>
dequebuilder pushed:(|$LP
dequebuilder pushed:Z|<var>
dequebuilder pushed:)|$RP
dequebuilder pushed:;|<semi>
dequebuilder pushed:}|$RB
dequebuilder pushed:IF|$IF
dequebuilder pushed:(|$LP
dequebuilder pushed:A|<var>
dequebuilder pushed:==|<relop>
dequebuilder pushed:B|<var>
dequebuilder pushed:)|$RP
dequebuilder pushed:THEN|$THEN
dequebuilder pushed:{|$LB
dequebuilder pushed:PUT|<var>
dequebuilder pushed:(|$LP
dequebuilder pushed:Y|<var>
dequebuilder pushed:)|$RP
dequebuilder pushed:;|<semi>
dequebuilder pushed:}|$RB
dequebuilder pushed:ELSE|$ELSE
dequebuilder pushed:{|$LB
dequebuilder pushed:PUT|<var>
dequebuilder pushed:(|$LP
dequebuilder pushed:Z|<var>
dequebuilder pushed:)|$RP
dequebuilder pushed:;|<semi>
dequebuilder pushed:}|$RB
dequebuilder pushed:IF|$IF
dequebuilder pushed:(|$LP
dequebuilder pushed:A|<var>
dequebuilder pushed:!=|<relop>
dequebuilder pushed:B|<var>
dequebuilder pushed:)|$RP
dequebuilder pushed:THEN|$THEN
dequebuilder pushed:{|$LB
dequebuilder pushed:PUT|<var>
dequebuilder pushed:(|$LP
dequebuilder pushed:Y|<var>
dequebuilder pushed:)|$RP
dequebuilder pushed:;|<semi>
dequebuilder pushed:}|$RB
dequebuilder pushed:ELSE|$ELSE
dequebuilder pushed:{|$LB
dequebuilder pushed:PUT|<var>
dequebuilder pushed:(|$LP
dequebuilder pushed:Z|<var>
dequebuilder pushed:)|$RP
dequebuilder pushed:;|<semi>
dequebuilder pushed:}|$RB
dequebuilder pushed:IF|$IF
dequebuilder pushed:(|$LP
dequebuilder pushed:A|<var>
dequebuilder pushed:<|<relop>
dequebuilder pushed:B|<var>
dequebuilder pushed:)|$RP
dequebuilder pushed:THEN|$THEN
dequebuilder pushed:{|$LB
dequebuilder pushed:PUT|<var>
dequebuilder pushed:(|$LP
dequebuilder pushed:Y|<var>
dequebuilder pushed:)|$RP
dequebuilder pushed:;|<semi>
dequebuilder pushed:}|$RB
dequebuilder pushed:ELSE|$ELSE
dequebuilder pushed:{|$LB
dequebuilder pushed:PUT|<var>
dequebuilder pushed:(|$LP
dequebuilder pushed:Z|<var>
dequebuilder pushed:)|$RP
dequebuilder pushed:;|<semi>
dequebuilder pushed:}|$RB
dequebuilder pushed:IF|$IF
dequebuilder pushed:(|$LP
dequebuilder pushed:A|<var>
dequebuilder pushed:<=|<relop>
dequebuilder pushed:B|<var>
dequebuilder pushed:)|$RP
dequebuilder pushed:THEN|$THEN
dequebuilder pushed:{|$LB
dequebuilder pushed:PUT|<var>
dequebuilder pushed:(|$LP
dequebuilder pushed:Y|<var>
dequebuilder pushed:)|$RP
dequebuilder pushed:;|<semi>
dequebuilder pushed:}|$RB
dequebuilder pushed:ELSE|$ELSE
dequebuilder pushed:{|$LB
